"","city","lng","lat"
"1","ADA",20.1285,45.8027
"2","ALEKSANDROVAC",21.0539,43.4609
"3","ALEKSINAC",21.7078,43.5417
"4","ALIBUNAR",20.9682,45.0789
"5","APATIN",18.9843,45.6709
"6","ARANĐELOVAC",20.5612,44.3077
"7","ARILJE",20.097,43.755
"8","BABUŠNICA",22.4115,43.068
"9","BAČ",19.2367,45.3923
"10","BAČKA PALANKA",19.3916,45.2519
"11","BAČKA TOPOLA",19.6369,45.8152
"12","BAČKI PETROVAC",19.592,45.3616
"13","BAJINA BAŠTA",19.5655,43.9709
"14","BATOČINA",21.0799,44.1547
"15","BEČEJ",20.04,45.6196
"16","BELA CRKVA",21.4234,44.9015
"17","BELA PALANKA",22.314,43.2196
"18","BEOČIN",19.725,45.1916
"19","BEOGRAD",20.468,44.8186
"20","BLACE",21.2727,43.297
"21","BOGATIĆ",19.4807,44.8376
"22","BOJNIK",21.718,43.0142
"23","BOLJEVAC",21.9609,43.8321
"24","BOR",22.0967,44.0819
"25","BOSILEGRAD",22.4728,42.5005
"26","BRUS",21.0289,43.3846
"27","BUJANOVAC",21.7666,42.4606
"28","ČAČAK",20.3301,43.8897
"29","ČAJETINA",19.715,43.7497
"30","ĆIĆEVAC",21.4436,43.72
"31","ČOKA",20.146,45.9415
"32","CRNA TRAVA",22.3247,42.8071
"33","CRVENI KRST",21.8852,43.3351
"34","ĆUPRIJA",21.3745,43.9284
"35","DESPOTOVAC",21.444,44.0932
"36","DIMITROVGRAD",22.7776,43.0155
"37","DOLJEVAC",21.8334,43.1968
"38","GADŽIN HAN",22.0333,43.2223
"39","GOLUBAC",21.6308,44.6529
"40","GORNJI MILANOVAC",20.4586,44.0245
"41","INĐIJA",20.0816,45.0482
"42","IRIG",19.8603,45.1001
"43","IVANJICA",20.2284,43.582
"44","JAGODINA",21.2583,43.9791
"45","KANJIŽA",20.0504,46.0635
"46","KIKINDA",20.4682,45.8323
"47","KLADOVO",22.6155,44.6073
"48","KNIĆ",20.7197,43.927
"49","KNJAŽEVAC",22.2539,43.5667
"50","KOCELJEVA",19.8214,44.4687
"51","KOSJERIĆ",19.9079,43.9987
"52","KOSTOLAC",21.1751,44.722
"53","KOVAČICA",20.6236,45.1109
"54","KOVIN",20.9766,44.7482
"55","KRAGUJEVAC",20.92,44.02
"56","KRALJEVO",20.6896,43.7259
"57","KRUPANJ",19.3633,44.3676
"58","KRUŠEVAC",21.3352,43.581
"59","KUČEVO",21.6712,44.4767
"60","KULA",19.5274,45.6109
"61","KURŠUMLIJA",21.2735,43.139
"62","LAJKOVAC",20.1644,44.37
"63","LAPOVO",21.0969,44.1877
"64","LAZAREVAC",20.2639,44.3795
"65","LEBANE",21.7294,42.9171
"66","LESKOVAC",21.9445,42.9976
"67","LJIG",20.2394,44.2266
"68","LJUBOVIJA",19.3785,44.1896
"69","LOZNICA",19.2427,44.5312
"70","LUČANI",20.1384,43.8608
"71","MAJDANPEK",21.9358,44.4228
"72","MALI IĐOŠ",19.6663,45.7092
"73","MALI ZVORNIK",19.1214,44.3992
"74","MALO CRNIĆE",21.2906,44.5603
"75","MEDIJANA",21.9079,43.3176
"76","MEDVEĐA",21.5858,42.842
"77","MEROŠINA",21.7218,43.2813
"78","MIONICA",20.0817,44.2524
"79","MLADENOVAC",20.6939,44.4364
"80","NEGOTIN",22.5308,44.2264
"81","NIŠ",21.9,43.3304
"82","NOVA CRNJA",20.6042,45.6685
"83","NOVA VAROŠ",19.8117,43.46
"84","NOVI BEČEJ",20.1364,45.6015
"85","NOVI KNEŽEVAC",20.0958,46.041
"86","NOVI PAZAR",20.5149,43.1375
"87","NOVI SAD",19.8499,45.2504
"88","OBRENOVAC",20.2031,44.6625
"89","ODŽACI",19.2606,45.5076
"90","OPOVO",20.4313,45.0522
"91","OSEČINA",19.601,44.3728
"92","PANČEVO",20.6443,44.8713
"93","PANTELEJ",21.9433,43.3528
"94","PARAĆIN",21.4119,43.8592
"95","PEĆINCI",19.9664,44.9089
"96","PETROVAC NA MLAVI",21.4198,44.3773
"97","PIROT",22.5871,43.1617
"98","PLANDIŠTE",21.1238,45.2292
"99","POŽAREVAC",21.1826,44.6222
"100","POŽEGA",20.0368,43.8459
"101","PREŠEVO",21.65,42.3071
"102","PRIBOJ",19.5258,43.5836
"103","PRIJEPOLJE",19.6506,43.3903
"104","PROKUPLJE",21.5932,43.2383
"105","RAČA",20.979,44.2268
"106","RAŠKA",20.6135,43.2859
"107","RAŽANJ",21.5492,43.6744
"108","REKOVAC",21.0958,43.8609
"109","RUMA",19.8171,45.0079
"110","ŠABAC",19.6876,44.7538
"111","SEČANJ",20.7732,45.3676
"112","SENTA",20.0789,45.9273
"113","ŠID",19.2267,45.1276
"114","SJENICA",20.0004,43.2735
"115","SMEDEREVO",20.9258,44.6516
"116","SMEDEREVSKA PALANKA",20.9623,44.3654
"117","SOKOBANJA",21.8692,43.6453
"118","SOMBOR",19.1151,45.7742
"119","SRBOBRAN",19.7954,45.5481
"120","SREMSKA MITROVICA",19.6122,44.9764
"121","SREMSKI KARLOVCI",19.9325,45.2021
"122","STARA PAZOVA",20.1597,44.9861
"123","SUBOTICA",19.68,46.07
"124","SURDULICA",22.1704,42.6904
"125","SVILAJNAC",21.197,44.2383
"126","SVRLJIG",22.1252,43.4129
"127","TEMERIN",19.8911,45.4095
"128","TITEL",20.2949,45.206
"129","TOPOLA",20.6824,44.2544
"130","TRGOVIŠTE",22.0921,42.3514
"131","TRSTENIK",21.0025,43.6169
"132","TUTIN",20.3334,42.99
"133","UB",20.0762,44.4572
"134","UŽICE",19.8441,43.8582
"135","VALJEVO",19.8874,44.272
"136","VARVARIN",21.3712,43.7195
"137","VELIKA PLANA",21.0751,44.3323
"138","VELIKO GRADIŠTE",21.5163,44.7638
"139","VLADIČIN HAN",22.0664,42.7082
"140","VLADIMIRCI",19.7843,44.6158
"141","VLASOTINCE",22.1272,42.9659
"142","VRANJE",21.9002,42.556
"143","VRBAS",19.6479,45.5704
"144","VRNJAČKA BANJA",20.8956,43.6223
"145","VRŠAC",21.2983,45.1175
"146","ŽABALJ",20.0707,45.3741
"147","ŽABARI",21.2143,44.3562
"148","ŽAGUBICA",21.7902,44.1979
"149","ZAJEČAR",22.2755,43.9019
"150","ŽITIŠTE",20.5507,45.4854
"151","ŽITORAĐA",21.7134,43.1902
"152","ZRENJANIN",20.3995,45.3786
